,number,value,datetime_start,datetime_complete,duration,params_batchnorm,params_batchsize,params_beta_1,params_beta_2,params_dense_dropout_factor,params_epsilon,params_input_dropout_factor,params_learning_rate,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_hidden4,params_num_hidden5,params_num_hidden6,params_num_hidden7,params_num_hidden_input,state
0,0,0.07611992955207825,2021-08-04 20:30:36.366271,2021-08-04 20:32:19.903264,0 days 00:01:43.536993,False,256,0.4019446675063934,0.346389976718468,0.035665148588496176,4.590895926798209e-05,0.25723082998491487,0.015614719133404936,7,67.67823157392174,400.7845555090079,27.964469637330026,4.261403794950459,25.185607999356872,19.836107085329665,4.81583050944466,,179.04579390411578,COMPLETE
1,1,0.0747503936290741,2021-08-04 20:32:19.948304,2021-08-04 20:33:08.958798,0 days 00:00:49.010494,False,256,0.4936575755840277,0.1624794865175823,0.08367806154729707,5.868470214723177e-05,0.238734734890444,0.00233618230597177,1,89.2611249266068,,,,,,,,363.85466215385907,COMPLETE
2,2,0.07611992955207825,2021-08-04 20:33:08.996833,2021-08-04 20:54:00.251739,0 days 00:20:51.254906,True,32,0.14132916545378166,1.792860577811494,0.28523071413844514,3.724890243396627e-07,0.34059361813606254,0.026874824010664045,5,348.9480863444613,20.8683413518339,227.12638897477802,11.28975310859346,46.092478474134495,,,,59.066406551854776,COMPLETE
3,3,0.07611992955207825,2021-08-04 20:54:00.305788,2021-08-04 20:54:44.681073,0 days 00:00:44.375285,False,512,0.9362716816768923,0.2099091394483001,0.32465112320155676,0.1391627971737948,0.24413713530398307,0.023920689438025836,4,143.45408624209753,6.4830082409764405,389.3610074603947,446.4155276270874,,,,,134.2733668319778,COMPLETE
4,4,0.07611992955207825,2021-08-04 20:54:44.733119,2021-08-04 20:55:30.289476,0 days 00:00:45.556357,False,256,1.095321345313281,1.6340903734645942,0.39945945195240445,0.02591304187910203,0.38178591710828774,0.006509515457258193,1,14.999882406406337,,,,,,,,58.52295306171283,COMPLETE
5,5,0.07611992955207825,2021-08-04 20:55:30.338521,2021-08-04 21:00:00.169477,0 days 00:04:29.830956,True,64,1.0446140811004638,0.19010257711503606,0.4547947309320062,0.0002465413905933825,0.32141702406412404,0.0003150489963139253,1,51.01998694190722,,,,,,,,211.22140507560104,COMPLETE
6,6,0.07611992955207825,2021-08-04 21:00:00.224528,2021-08-04 21:26:02.669937,0 days 00:26:02.445409,False,16,0.6537608716906743,0.4401993889241168,0.08928629886524658,0.006517744388408584,0.4372122740681607,0.06683521065625392,8,36.88650037995375,18.007580908877728,154.72855616780558,13.801420263686765,43.748018871137226,25.90469611098631,64.31667190600247,14.80764239631255,57.99383004400405,COMPLETE
7,7,0.07611992955207825,2021-08-04 21:26:02.759019,2021-08-04 21:27:16.271753,0 days 00:01:13.512734,False,256,0.9743492255058163,0.1536904456255533,0.14654334262647456,1.0142283637058526e-07,0.09066661653736963,0.013889943273487219,4,45.294727517940345,35.211196973325315,11.539496792869997,7.421336458810238,,,,,68.22917537268955,COMPLETE
8,8,0.07570759207010269,2021-08-04 21:27:16.335812,2021-08-04 21:29:17.825102,0 days 00:02:01.489290,False,128,0.1045724878889114,0.8310419682065486,0.3697902760654785,0.012648761793196827,0.06973569857410805,0.03393991583971671,3,81.8322521269214,6.439518702542781,421.6214182159227,,,,,,45.35670655077028,COMPLETE
9,9,0.07611992955207825,2021-08-04 21:29:17.878150,2021-08-04 21:39:06.902875,0 days 00:09:49.024725,False,32,0.4434582532695474,0.33864394300120776,0.1819381623221885,0.15126093381553196,0.33389449695382073,0.0004982181604948647,5,6.598511935062243,22.833698562543045,19.84900721197614,14.408240003220035,73.77412036775978,,,,56.043249249021315,COMPLETE
10,10,0.5008835792541504,2021-08-04 21:39:06.945914,2021-08-04 21:45:45.270519,0 days 00:06:38.324605,True,256,0.253375897152121,0.8903715059008103,0.0020158996191083425,1.3710319930342122e-05,0.15685587932683576,0.001809101022038184,8,497.4186526439052,354.09341126528335,53.55682230147259,121.29810924319426,5.906190550454639,4.215778631930253,4.436219275949185,427.0243958027262,511.8217011105096,COMPLETE
11,11,0.48863133788108826,2021-08-04 21:45:45.312558,2021-08-04 21:55:14.281075,0 days 00:09:28.968517,True,256,0.2404412953852796,0.8918023548013232,0.00046768693303610143,6.44033202033179e-06,0.17604796724577873,0.001959833830375048,8,486.3783114506306,475.9592527202355,53.81675455349494,156.65776319464973,4.707119360050286,4.072772425637505,4.437493507600125,498.12416387164365,462.0632978139378,COMPLETE
12,12,0.5188790559768677,2021-08-04 21:55:14.326116,2021-08-04 22:05:47.521939,0 days 00:10:33.195823,True,256,0.23259188798202696,0.8298012498437837,0.00784735505387213,3.455639554105942e-06,0.14620017257929774,0.0017450683500621733,8,396.59213049362097,433.88804881633234,75.9421205847894,180.34449527194406,6.008453576685053,4.34025084206399,4.627688468619375,288.64345221164234,503.16228516217916,COMPLETE
13,13,0.4865843951702118,2021-08-04 22:05:47.560975,2021-08-04 22:36:18.571192,0 days 00:30:31.010217,True,64,0.22645990968233767,0.8663800535897144,0.01974458008126068,1.4468598291448214e-06,0.0023322825660549162,0.0009769415330853788,7,211.36087251202252,175.9641700287074,76.90759039728742,92.90317563012158,4.114788357851284,4.031467647480507,5.941328429969291,,327.315137473308,COMPLETE
14,14,0.07611992955207825,2021-08-04 22:36:18.629246,2021-08-04 22:38:24.252288,0 days 00:02:05.623042,True,512,0.24016896534262672,1.214612497453946,0.18838095574523975,5.823567861346739e-06,0.15406394681609462,0.00011728573032670247,7,474.71900313730083,124.63844796778324,82.66732346194289,376.37981283104307,11.05873450763844,297.37581790312976,324.0957681365751,,500.3509530514773,COMPLETE
15,15,0.18967396020889282,2021-08-04 22:38:24.291324,2021-08-04 23:34:29.884656,0 days 00:56:05.593332,True,16,0.16991163353617472,0.6573924138812964,0.0715793409373846,0.000748236799981217,0.12604969700389407,0.004512538086801535,6,248.00416499389658,189.96856277861718,34.684492838956835,74.36107549508759,9.948614965014066,5.04059513899619,,,329.08713135921244,COMPLETE
16,16,0.07611992955207825,2021-08-04 23:34:29.933700,2021-08-04 23:38:38.868687,0 days 00:04:08.934987,True,256,0.3248293968438662,1.1721133732948703,0.13453350151735127,6.441979689399591e-06,0.018529693728492058,0.0011187146630550653,8,151.86604764408816,78.86988018303956,4.277250928643429,192.82792730451075,459.18889713340155,10.122848125987366,19.315838484090303,465.2398711100615,109.44359534471016,COMPLETE
