,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
0,0,0.27482107281684875,2021-08-13 18:25:27.551947,2021-08-13 18:30:29.008506,0 days 00:05:01.456559,256,0.493464813125656,0.5017079653713026,0.05814175883664929,6,0.4112683307732768,1.319211309094355e-07,0.003876519368452004,19.820942078518232,4,1,73.09635362289322,,,,25.56397950487979,8.48382045276024,29.846303280196224,7.311635352702083,COMPLETE
1,1,0.07570759207010269,2021-08-13 18:30:29.087576,2021-08-13 18:33:52.176240,0 days 00:03:23.088664,512,0.10038420650254677,0.530708940281739,0.14648172284986632,2,0.3744011813055429,5.630734271159767e-07,0.026201666633388316,29.701165533109886,4,1,55.557849393321064,,,,12.180457271190956,82.58952304643988,11.988857967515209,44.774310174330196,COMPLETE
2,2,0.21177804470062256,2021-08-13 18:33:52.210270,2021-08-13 18:51:15.212371,0 days 00:17:23.002101,64,0.18405908084891637,0.6976135477747177,0.1260387291900219,4,0.313460173472852,0.0001476664043219752,0.0008258248121423224,12.975985195027896,3,2,43.83944185820021,45.97068522816509,,,5.359787871558194,4.721486404503248,4.037533211772525,,COMPLETE
3,3,0.07611992955207825,2021-08-13 18:51:15.254604,2021-08-13 19:03:46.708531,0 days 00:12:31.453927,64,1.4128906795220688,0.10504795452385392,0.017956602319889936,3,0.1772557802407334,1.696347515803445e-07,0.0655194069756642,4.070963214336599,4,2,11.786267215154446,6.626046414479476,,,11.00765507719253,10.779819815008967,25.5018131104961,19.97061005542435,COMPLETE
4,4,0.16893941164016724,2021-08-13 19:03:46.747569,2021-08-13 19:17:29.697289,0 days 00:13:42.949720,32,0.10691835705026001,0.2800987045953388,0.22530860145947285,3,0.14308865647587815,0.0014909798258723288,0.0047978233001933586,75.50843273305314,1,1,5.7358510216951775,,,,10.054437408340085,,,,COMPLETE
5,5,0.07611992955207825,2021-08-13 19:17:29.730319,2021-08-13 20:05:53.183403,0 days 00:48:23.453084,16,0.29588443563315486,1.0716260475884076,0.188435477201586,3,0.49351646797694737,3.1567832913330144e-06,0.00013667238901167932,5.153002770471569,4,3,29.26279674696873,27.48734192167059,28.279933561527148,,4.63105082986174,30.1466462898239,12.378128988635732,24.51180599593153,COMPLETE
6,6,0.07611992955207825,2021-08-13 20:05:53.223283,2021-08-13 20:10:51.089524,0 days 00:04:57.866241,512,1.706980708550148,0.19536947997601084,0.442734070222539,5,0.36104045785927025,2.5585871169035906e-07,0.009673637942398113,90.7472654156329,4,3,79.95982540045225,29.91240461879077,9.634772683953209,,6.490780135845311,55.37570923875099,7.450835827970226,23.395022623133467,COMPLETE
7,7,0.07611992955207825,2021-08-13 20:10:51.133108,2021-08-13 20:18:13.920254,0 days 00:07:22.787146,128,0.8424747933100826,1.1514453130147158,0.12894415947312016,6,0.05309297780106442,0.0003423587297440942,0.01833020735988681,4.519311388653613,4,4,21.129643833088558,27.72622840059396,49.16200533375468,4.393601867974301,16.713428837756354,9.057242245496985,24.22098013790613,54.868521917483186,COMPLETE
8,8,0.21650516986846924,2021-08-13 20:18:13.963422,2021-08-13 20:32:22.822961,0 days 00:14:08.859539,128,0.4087250909590366,0.17519273167183835,0.4889250587806844,2,3.605228368935842e-05,1.1663962489152289e-05,0.0002841368418829829,4.261743477348976,1,2,5.427800926641658,37.54885493162937,,,108.11899122975665,,,,COMPLETE
9,9,0.08184843510389328,2021-08-13 20:32:22.859994,2021-08-13 20:38:47.127692,0 days 00:06:24.267698,128,0.3635242757324286,0.1147378392628348,0.42179859409245557,4,0.2864688340898497,0.00782840195145962,0.046589466449113326,28.27896528034199,3,2,9.736740858485163,124.75072673296586,,,4.152369845752039,30.064866475845115,6.026735974797465,,COMPLETE
